,학교ID,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
1178,B000002182,서울천호초등학교,초등학교,서울특별시 강동구 천호동 230-9,서울특별시 강동구 구천면로 310-11,37.54771897,127.1365923
1179,B000002179,서울성내초등학교,초등학교,서울특별시 강동구 성내동 300-3,서울특별시 강동구 성내로3길 19,37.53135786,127.1225001
1180,B000002002,서울영문초등학교,초등학교,서울특별시 영등포구 문래동6가 13,서울특별시 영등포구 문래로 56,37.51980741,126.8875891
1181,B000001869,서울중랑초등학교,초등학교,서울특별시 중랑구 면목동 192-1,서울특별시 중랑구 봉우재로6길 26,37.58966282,127.0755035
1183,B000001978,서울영남초등학교,초등학교,서울특별시 금천구 독산동 59-27,서울특별시 금천구 문성로 62-15,37.47612262,126.9092099
1184,B000002398,서울월곡초등학교,초등학교,서울특별시 성북구 장위동 246-194,서울특별시 성북구 장월로3길 42,37.61002442,127.046081
1185,B000002221,서울등양초등학교,초등학교,서울특별시 강서구 등촌동 691,서울특별시 강서구 강서로56나길 140,37.56494704,126.8447602
1188,B000002051,서울공연초등학교,초등학교,서울특별시 노원구 공릉동 371-10,서울특별시 노원구 동일로192가길 16,37.62754753,127.0745089
1189,B000002386,세종초등학교,초등학교,서울특별시 광진구 군자동 98,서울특별시 광진구 군자로 114,37.5530111,127.0728646
1191,B000002084,서울매동초등학교,초등학교,서울특별시 종로구 필운동 32,서울특별시 종로구 사직로9길 19,37.57749965,126.9669415
